Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  6.7         5643         5643      277504           0         20 Kokkos::parallel_for PackData 4D [device=33554432]
  6.5         5503         5503      277504           0         20 Kokkos::parallel_for UnpackData 4D [device=33554432]
  6.3          410         5288       11360       34080        466 Task_ProlongateBoundaries
  4.6         1876         3873       11360       99072        341 RestrictBoundaries
  4.5          409         3781       11363       34089        333 Task_FillDerived
  2.9         2413         2413      118848           0         20 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  2.5         1018         2134        2320       57344        920 Task_ReceiveAndSetBoundariesWithWait
  1.5          261         1291        9040        9040        143 Task_Tag_Block
  1.5          590         1248        9040       27120        138 Task_Advection_CalculateFluxes
  1.4         1194         1194       10456           0        114 Kokkos::parallel_reduce advection check refinement [device=0]
  1.4          814         1145       11363       14240        101 PostFillDerived
  1.3          796         1121       11363       14240         99 PreFillDerived
  1.3          786         1106       11363       14240         97 FillDerived
  1.1          469          905       11360       19776         80 ProlongateBoundaries
  0.8          283          657        9944        9944         66 Task_EstimateTimestep
  0.7          447          587          20        6354      29334 Task_WeightedSumData
  0.7          452          553        9040        4800         61 Task_SendFluxCorrection
  0.5          447          447       20224           0         22 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.5          422          422           1           2     422178 MPI_Init_thread() 
  0.4          374          374        9944           0         38 Kokkos::parallel_reduce advection_package::EstimateTimestep [device=0]
  0.3          170          268        9590        4800         28 Task_ReceiveFluxCorrection
  0.3          255          255       11360           0         22 Kokkos::parallel_for advection_package::PostFill [device=33554432]
  0.3          248          248       11360           0         22 Kokkos::parallel_for advection_package::PreFill [device=33554432]
  0.3          244          244       11360           0         21 Kokkos::parallel_for advection_package::SquareIt [device=33554432]
  0.3          222          222        9040           0         25 Kokkos::parallel_for x1 flux [device=33554432]
  0.3          218          218        9040           0         24 Kokkos::parallel_for x2 flux [device=33554432]
  0.3          218          218        9040           0         24 Kokkos::parallel_for x3 flux [device=33554432]
  0.2          201          201       22720           0          9 Task_ApplyBoundaryConditionsOnCoarseOrFine
  0.2          153          153        6496           0         24 Kokkos::parallel_for Kokkos::View::destruction [MakePack::cv] [device=0]
  0.2          147          147        6496           0         23 Kokkos::parallel_for Kokkos::View::initialization [MakePack::cv] [device=0]
  0.2          146          146        6496           0         23 Kokkos::parallel_for Kokkos::View::initialization [MakePack::sparse_assoc] [device=0]
  0.2          146          146        6496           0         22 Kokkos::parallel_for Kokkos::View::initialization [MakePack::vector_component] [device=0]
  0.1          108          108       11360           0          9 Task_ClearBoundary
  0.1          106          106       11360           0          9 Task_StartReceiving
  0.1         85.1         85.1        9040           0          9 Task_ReceiveBoundaryBuffers_MeshBlockData
  0.1         65.8         65.8        3200           0         21 Kokkos::parallel_for ReceiveFluxCorrection_x1 [device=33554432]
  0.1         57.3         60.4           1           3      60408 MPI_Finalize() 
  0.1         55.7         55.7        1416           0         39 SearchAndSetNeighbors
  0.1         55.6         55.6        1920           0         29 Kokkos::parallel_for Kokkos::View::initialization [recv buf 0] [device=0]
