Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0         6472         6472       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 40] [device=0]
  0.0         6471         6471       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 34] [device=0]
  0.0         6471         6471       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 44] [device=0]
  0.0         6471         6471       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 33] [device=0]
  0.0         6471         6471       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 27] [device=0]
  0.0         6470         6470       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 42] [device=0]
  0.0         6470         6470       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 53] [device=0]
  0.0         6470         6470       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 31] [device=0]
  0.0         6469         6469       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 32] [device=0]
  0.0         6469         6469       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 45] [device=0]
  0.0         6469         6469       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 34] [device=0]
  0.0         6469         6469       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 51] [device=0]
  0.0         6469         6469       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 49] [device=0]
  0.0         6468         6468       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 35] [device=0]
  0.0         6468         6468       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 48] [device=0]
  0.0         6468         6468       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 27] [device=0]
  0.0         6467         6467       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 26] [device=0]
  0.0         6466         6466       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 36] [device=0]
  0.0         6466         6466       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 50] [device=0]
  0.0         6466         6466       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 49] [device=0]
  0.0         6465         6465       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX1] [device=0]
